,@frequency,provider_code,dataset_code,dataset_name,series_code,series_name,original_period,period,original_value,value,FREQ,REF_AREA,INDICATOR,Frequency,Reference Area,Indicator
15,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-04,1951-04-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
16,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-05,1951-05-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
17,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-06,1951-06-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
18,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-07,1951-07-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
19,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-08,1951-08-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
20,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-09,1951-09-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
21,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-10,1951-10-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
22,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-11,1951-11-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
23,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1951-12,1951-12-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
24,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-01,1952-01-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
25,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-02,1952-02-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
26,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-03,1952-03-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
27,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-04,1952-04-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
28,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-05,1952-05-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
29,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-06,1952-06-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
30,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-07,1952-07-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
31,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-08,1952-08-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
32,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-09,1952-09-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
33,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-10,1952-10-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
34,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-11,1952-11-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
35,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1952-12,1952-12-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
36,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-01,1953-01-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
37,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-02,1953-02-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
38,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-03,1953-03-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
39,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-04,1953-04-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
40,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-05,1953-05-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
41,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-06,1953-06-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
42,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-07,1953-07-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
43,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-08,1953-08-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
44,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-09,1953-09-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
45,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-10,1953-10-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
46,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-11,1953-11-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
47,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1953-12,1953-12-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
48,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-01,1954-01-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
49,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-02,1954-02-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
50,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-03,1954-03-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
51,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-04,1954-04-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
52,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-05,1954-05-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
53,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-06,1954-06-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
54,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-07,1954-07-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
55,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-08,1954-08-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
56,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-09,1954-09-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
57,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-10,1954-10-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
58,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-11,1954-11-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
59,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1954-12,1954-12-01,NA,,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
60,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-01,1955-01-01,16.7714855129534,16.7714855129534,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
61,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-02,1955-02-01,16.7714855129534,16.7714855129534,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
62,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-03,1955-03-01,16.6635117512953,16.6635117512953,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
63,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-04,1955-04-01,16.8074800414508,16.8074800414508,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
64,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-05,1955-05-01,16.6455243108808,16.6455243108808,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
65,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-06,1955-06-01,16.6635117512953,16.6635117512953,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
66,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-07,1955-07-01,16.5915325181347,16.5915325181347,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
67,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-08,1955-08-01,16.6995062797928,16.6995062797928,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
68,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-09,1955-09-01,16.7714855129534,16.7714855129534,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
69,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-10,1955-10-01,16.8794592746114,16.8794592746114,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
70,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-11,1955-11-01,16.4835587564767,16.4835587564767,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
71,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1955-12,1955-12-01,16.4115795233161,16.4115795233161,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
72,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-01,1956-01-01,16.5015560207254,16.5015560207254,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
73,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-02,1956-02-01,16.6455243108808,16.6455243108808,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
74,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-03,1956-03-01,16.681509015544,16.681509015544,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
75,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-04,1956-04-01,16.7175035440414,16.7175035440414,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
76,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-05,1956-05-01,16.6455243108808,16.6455243108808,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
77,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-06,1956-06-01,16.9874232124352,16.9874232124352,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
78,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-07,1956-07-01,16.6455243108808,16.6455243108808,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
79,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-08,1956-08-01,16.735490984456,16.735490984456,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
80,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-09,1956-09-01,16.8794592746114,16.8794592746114,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
81,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-10,1956-10-01,16.9694357720207,16.9694357720207,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
82,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-11,1956-11-01,16.681509015544,16.681509015544,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
83,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1956-12,1956-12-01,16.8614620103627,16.8614620103627,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
84,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-01,1957-01-01,17.0414150051813,17.0414150051813,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
85,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-02,1957-02-01,17.0054204766839,17.0054204766839,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
86,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-03,1957-03-01,17.0594122694301,17.0594122694301,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
87,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-04,1957-04-01,17.1673762072539,17.1673762072539,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
88,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-05,1957-05-01,17.3113346735751,17.3113346735751,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
89,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-06,1957-06-01,17.2573527046632,17.2573527046632,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
90,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-07,1957-07-01,17.4553029637306,17.4553029637306,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
91,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-08,1957-08-01,17.5812641658031,17.5812641658031,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
92,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-09,1957-09-01,17.4912876683938,17.4912876683938,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
93,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-10,1957-10-01,17.4373056994819,17.4373056994819,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
94,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-11,1957-11-01,17.2033707357513,17.2033707357513,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
95,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1957-12,1957-12-01,17.1673762072539,17.1673762072539,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
96,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-01,1958-01-01,17.2033707357513,17.2033707357513,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
97,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-02,1958-02-01,17.0594122694301,17.0594122694301,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
98,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-03,1958-03-01,16.9874232124352,16.9874232124352,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
99,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-04,1958-04-01,17.0594122694301,17.0594122694301,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
100,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-05,1958-05-01,17.0414150051813,17.0414150051813,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
101,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-06,1958-06-01,17.2393554404145,17.2393554404145,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
102,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-07,1958-07-01,17.1673762072539,17.1673762072539,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
103,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-08,1958-08-01,17.3473292020725,17.3473292020725,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
104,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-09,1958-09-01,17.2573527046632,17.2573527046632,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
105,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-10,1958-10-01,17.4013209948187,17.4013209948187,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
106,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-11,1958-11-01,17.221368,17.221368,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
107,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1958-12,1958-12-01,17.2033707357513,17.2033707357513,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
108,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1959-01,1959-01-01,17.221368,17.221368,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
109,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1959-02,1959-02-01,17.1493789430052,17.1493789430052,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
110,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1959-03,1959-03-01,17.2033707357513,17.2033707357513,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
111,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1959-04,1959-04-01,17.2933472331606,17.2933472331606,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
112,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1959-05,1959-05-01,17.1673762072539,17.1673762072539,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
113,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1959-06,1959-06-01,17.2933472331606,17.2933472331606,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
114,monthly,IMF,CPI,Consumer Price Index (CPI),M.JP.PCPI_IX,"Monthly – Japan – Consumer Price Index, All items",1959-07,1959-07-01,17.3113346735751,17.3113346735751,M,JP,PCPI_IX,Monthly,Japan,"Consumer Price Index, All items"
